route,check,severity,detail
/leaderboard,C1,3,"131 words of main content (<150)"
/about,C2,3,"first-200-chars identical across 1341 pages: e.g. /about, /age-calculator, /answers/how-does-stress-affect-life-expectancy, /answers/how-long-will-i-live"
/,T2,3,"title 103 chars (>65): ""Best Age Calculator, Celebrity Birthday Match & Life Expectancy | BornClock - Age & Birthday Calculator"""
/birthday/11/19,T2,3,"title 70 chars (>65): ""November 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/2,T2,3,"title 69 chars (>65): ""November 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/20,T2,3,"title 70 chars (>65): ""November 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/21,T2,3,"title 70 chars (>65): ""November 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/22,T2,3,"title 70 chars (>65): ""November 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/23,T2,3,"title 70 chars (>65): ""November 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/24,T2,3,"title 70 chars (>65): ""November 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/25,T2,3,"title 70 chars (>65): ""November 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/26,T2,3,"title 70 chars (>65): ""November 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/27,T2,3,"title 70 chars (>65): ""November 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/28,T2,3,"title 70 chars (>65): ""November 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/29,T2,3,"title 70 chars (>65): ""November 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/3,T2,3,"title 69 chars (>65): ""November 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/30,T2,3,"title 70 chars (>65): ""November 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/4,T2,3,"title 69 chars (>65): ""November 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/5,T2,3,"title 69 chars (>65): ""November 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/6,T2,3,"title 69 chars (>65): ""November 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/7,T2,3,"title 69 chars (>65): ""November 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/8,T2,3,"title 69 chars (>65): ""November 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/9,T2,3,"title 69 chars (>65): ""November 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12,T2,3,"title 68 chars (>65): ""December Birthdays — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/1,T2,3,"title 69 chars (>65): ""December 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/10,T2,3,"title 70 chars (>65): ""December 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/11,T2,3,"title 70 chars (>65): ""December 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/12,T2,3,"title 70 chars (>65): ""December 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/13,T2,3,"title 70 chars (>65): ""December 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/14,T2,3,"title 70 chars (>65): ""December 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/15,T2,3,"title 70 chars (>65): ""December 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/16,T2,3,"title 70 chars (>65): ""December 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/17,T2,3,"title 70 chars (>65): ""December 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/18,T2,3,"title 70 chars (>65): ""December 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/19,T2,3,"title 70 chars (>65): ""December 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/2,T2,3,"title 69 chars (>65): ""December 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/20,T2,3,"title 70 chars (>65): ""December 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/21,T2,3,"title 70 chars (>65): ""December 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/22,T2,3,"title 70 chars (>65): ""December 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/23,T2,3,"title 70 chars (>65): ""December 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/24,T2,3,"title 70 chars (>65): ""December 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/25,T2,3,"title 70 chars (>65): ""December 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/26,T2,3,"title 70 chars (>65): ""December 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/27,T2,3,"title 70 chars (>65): ""December 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/28,T2,3,"title 70 chars (>65): ""December 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/29,T2,3,"title 70 chars (>65): ""December 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/3,T2,3,"title 69 chars (>65): ""December 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/30,T2,3,"title 70 chars (>65): ""December 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/31,T2,3,"title 70 chars (>65): ""December 31 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/4,T2,3,"title 69 chars (>65): ""December 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/5,T2,3,"title 69 chars (>65): ""December 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/6,T2,3,"title 69 chars (>65): ""December 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/7,T2,3,"title 69 chars (>65): ""December 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/8,T2,3,"title 69 chars (>65): ""December 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/12/9,T2,3,"title 69 chars (>65): ""December 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2,T2,3,"title 68 chars (>65): ""February Birthdays — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/1,T2,3,"title 69 chars (>65): ""February 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/10,T2,3,"title 70 chars (>65): ""February 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/11,T2,3,"title 70 chars (>65): ""February 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/12,T2,3,"title 70 chars (>65): ""February 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/13,T2,3,"title 70 chars (>65): ""February 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/14,T2,3,"title 70 chars (>65): ""February 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/15,T2,3,"title 70 chars (>65): ""February 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/16,T2,3,"title 70 chars (>65): ""February 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/17,T2,3,"title 70 chars (>65): ""February 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/18,T2,3,"title 70 chars (>65): ""February 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/19,T2,3,"title 70 chars (>65): ""February 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/2,T2,3,"title 69 chars (>65): ""February 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/20,T2,3,"title 70 chars (>65): ""February 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/21,T2,3,"title 70 chars (>65): ""February 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/22,T2,3,"title 70 chars (>65): ""February 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/23,T2,3,"title 70 chars (>65): ""February 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
