id,name,nationality_code
128,"Imelda Marcos",
129,"Pierre Corneille",
130,"Michel Platini",
131,"Georgy Zhukov",
132,"Ignatius of Loyola",
133,"Teresa of Ávila",
134,"Rajiv Gandhi",IN
135,"Nicholas I of Russia",
136,"Jiddu Krishnamurti",
137,"Kim Kardashian",
138,"Lance Armstrong",
139,"Sebastian Vettel",
140,"Halldór Laxness",
141,"Georg Simon Ohm",
142,"Matteo Renzi",
143,"Alexander II of Russia",
144,"Daniel Day-Lewis",
145,"George III of Great Britain",
146,"Abdel Fattah el-Sisi",
147,"Björk",
148,"James Dean",
149,"Magnus Carlsen",
150,"John Goodman",
151,"Vajiralongkorn",
152,"Sarah Palin",
153,"Saint Nicholas",
154,"Jacob Zuma",
155,"Jean-Marie Gustave Le Clézio",
156,"Rudolf Christoph Eucken",
157,"Juan Ramón Jiménez",
158,"Amartya Sen",IN
159,"Stanisław Lem",
160,"Carl XVI Gustaf of Sweden",
161,"Thabo Mbeki",
162,"Rachel Carson",
163,"George Marshall",
164,"Alexander Hamilton",
165,"Nancy Pelosi",
166,"Peter Abelard",
167,"Prince",
168,"LeBron James",
169,"Andrés Iniesta",
170,"Charles Bukowski",
171,"Joseph-Louis Lagrange",
172,"Titus",
173,"Dorothy Hodgkin",
174,"Ernst Haeckel",
175,"Béla Bartók",
176,"Paul Heyse",
177,"Humphry Davy",
178,"Susan Sarandon",
179,"Jacinda Ardern",
180,"David Livingstone",
181,"Alfred the Great",
182,"Thierry Henry",
183,"Eric Clapton",
184,"Terry Pratchett",
185,"Mesut Özil",
186,"William Henry Bragg",
187,"Matthew the Apostle",
188,"Sergey Lavrov",
189,"Juan Manuel Santos",
190,"Paul von Hindenburg",
191,"Jiang Zemin",
192,"Catherine, Princess of Wales",
193,"Jan Hus",
194,"Robert Lewandowski",
195,"Christopher Plummer",
196,"Johann Gottfried Herder",
197,"Willem-Alexander of the Netherlands",
198,"Bruce Springsteen",
199,"Al-Hassan Ibn Al-Haytham",
200,"George Soros",
201,"Abdelaziz Bouteflika",
202,"Demi Moore",
203,"Harper Lee",
204,"Tennessee Williams",
205,"Theodor W. Adorno",
206,"Gene Wilder",
207,"Jimmie Johnson",
208,"Patrick Modiano",
209,"James Brown",
210,"John Chrysostom",
211,"Martti Ahtisaari",
212,"Mohammed",
213,"Alexander VI",
214,"Paul Walker",
215,"Babur",
216,"A. P. J. Abdul Kalam",
217,"Abdul Hamid II",
218,"George Carlin",
219,"Lucian of Samosata",
220,"J. M. Barrie",
221,"Louise Glück",
222,"Bertha von Suttner",
223,"Antonio Banderas",
224,"Slobodan Milošević",
225,"Jon Voight",
226,"Pliny the Younger",
227,"Wassily Kandinsky",
228,"Dmitri Shostakovich",
229,"Johannes Diderik van der Waals",
230,"Sauli Niinistö",
231,"Osman I",
232,"Ian Fleming",
233,"George Michael",
234,"Maria Goeppert Mayer",
235,"Gustav Klimt",
236,"Miguel Ángel Asturias Rosales",
237,"Peter O'Toole",
238,"Gary Oldman",
239,"Truman Capote",
240,"Konstantin Eduardovich Tsiolkovskii",
241,"Louis de Broglie",
242,"Abel Tasman",
243,"Clark Gable",
244,"William Thomson, 1st Baron Kelvin",
245,"Catherine Zeta-Jones",
246,"Romano Prodi",
247,"Fred Astaire",
248,"Lana Del Rey",
249,"Mike Tyson",
250,"Alexander Blok",
251,"Chuck Norris",
252,"Aamir Khan",IN
253,"Rosalind Franklin",
254,"Jean Piaget",
255,"Mark Wahlberg",
256,"Juvenal",
257,"Évariste Galois",
258,"Ichirō Mizuki",
259,"Rita Levi-Montalcini",
260,"Seamus Heaney",
261,"Konstantin Chernenko",
262,"Sheikh Hasina",
263,"Giuseppe Conte",
264,"Mary I of England",
265,"Kirsten Dunst",
266,"James Chadwick",
267,"Viswanathan Anand",
268,"Frank Lampard",
269,"Karl Jaspers",
270,"Pieter Zeeman",
271,"Charles-Augustin de Coulomb",
272,"Arthur Wellesley, 1st Duke of Wellington",
273,"Jacques Cousteau",
274,"Robert A. Heinlein",
275,"Samuel Finley Breese Morse",
276,"Salman bin Abdulaziz Al Saud",
277,"Aisha",
278,"Harald V of Norway",
279,"Andrei Tarkovsky",
280,"Edmund Husserl",
281,"Hans Christian Ørsted",
282,"Pierce Brosnan",
283,"Eugène Ionesco",
284,"Empress Dowager Cixi",
285,"Joan Crawford",
286,"Alfred Russel Wallace",
287,"Plotinus",
288,"Apuleius",
289,"Wayne Rooney",
290,"Sergey Brin",
291,"Zhou Enlai",
292,"Peter Jackson",
293,"Titian",
294,"Miroslav Klose",
295,"Janet Jackson",
296,"Oscar Niemeyer",
297,"Margaret Atwood",
298,"Bruno Mars",
299,"Harriet Tubman",
300,"Nikolai Ivanovich Lobachevsky",
301,"Pranab Mukherjee",IN
302,"Priyanka Chopra",IN
303,"Joan Baez",
304,"Robert E. Lee",
305,"Steve Wozniak",
306,"Janis Joplin",
307,"Christopher Marlowe",
308,"Isabella I of Castile",
309,"Stan Lee",
310,"Iker Casillas",
311,"Theodor Herzl",
312,"Gavrilo Princip",
313,"Mick Jagger",
314,"Roger Martin du Gard",
315,"Frédéric Barberousse",
316,"Miles Davis",
317,"Walter Benjamin",
318,"William Makepeace Thackeray",
319,"Eduard Shevardnadze",
320,"François de La Rochefoucauld",
321,"Helen Mirren",
322,"Nadia Murad Basee",
323,"Liam Neeson",
324,"Gustave Eiffel",
325,"Charles Bronson",
326,"Jacinto Benavente",
327,"Henry James",
328,"Tertullian",
329,"Ferdinand Braun",
330,"Philipp Lenard",
331,"Gérard Depardieu",
332,"Anders Celsius",
333,"Francis Ford Coppola",
334,"Jane Goodall",
335,"Natalia Oreiro",
336,"José Mujica",
337,"Reese Witherspoon",
338,"Saint George",
339,"José Luis Rodríguez Zapatero",
340,"Claude Lévi-Strauss",
341,"Imran Khan",
342,"André Malraux",
343,"Charles Aznavour",
345,"Li Keqiang",
346,"Sean Penn",
347,"Usman ibn Affan",
348,"Jean-Claude Juncker",
349,"Shah Jahan",
350,"Mikhail Kalashnikov",
351,"Ambrose Bierce",
352,"Joan Fuster Ortells",
353,"Layal Abboud",
354,"Manuel Neuer",
355,"Mahmoud Abbas",
356,"Steven Gerrard",
357,"Shaka Zulu",
358,"John Amos Comenius",
359,"Orlando Bloom",
360,"Jean-Luc Godard",
361,"Sándor Petőfi",
362,"Kirk Douglas",
363,"Alfred de Musset",
364,"Franz Joseph I of Austria",
365,"Andrea Bocelli",
366,"James VI and I",
367,"James D. Watson",
368,"Sidney Poitier",
369,"Huldrych Zwingli",
370,"Lev Landau",
371,"Camilo José Cela",
372,"Verner von Heidenstam",
373,"Park Chung Hee",
374,"B. B. King",
375,"Chuck Berry",
376,"Salman Khan",IN
377,"François-Auguste-René de Chateaubriand",
378,"Sitting Bull",
379,"Ambrose",
380,"Eugene Wigner",
381,"Urban II",
382,"Eugenio Montale",
383,"Zac Efron",
384,"Michael Douglas",
385,"Georges Clemenceau",
386,"Alfred North Whitehead",
387,"Kersti Kaljulaid",
388,"Lauren Bacall",
389,"Francis Crick",
390,"Josephus",
391,"Margaret Mitchell",
392,"Erich Honecker",
393,"Wilhelm Wien",
394,"Jacobus Henricus van 't Hoff",
395,"Christian Bale",
396,"Ayman al-Zawahiri",
397,"Matthew McConaughey",
398,"Zuzana Čaputová",
399,"Joachim Gauck",
400,"Julian",
401,"Henry Fonda",
402,"Henri de Toulouse-Lautrec",
403,"Dolly Parton",
404,"Chinghiz Aitmatov",
405,"Sanna Marin",
406,"Harun al-Rashid",
407,"John Bardeen",
408,"Harold Macmillan",
409,"Alexander III of Russia",
410,"Psy",
411,"Marc Chagall",
412,"Niels Henrik Abel",
413,"Steven Weinberg",
414,"David Ricardo",
415,"Domitian",
416,"Ella Fitzgerald",
417,"Islam Karimov",
418,"Ravi Shankar",IN
419,"Doris Day",
420,"Vyacheslav Molotov",
421,"Slavoj Žižek",
422,"Enver Hoxha",
423,"Al-Farabi",
424,"Charles-Maurice de Talleyrand-Périgord",
425,"Carlo Goldoni",
426,"Samuel L. Jackson",
427,"Edmond Halley",
428,"Robert F. Kennedy",
429,"Anne Boleyn",
430,"Harold Wilson",
431,"Fatima",
432,"O. Henry",
433,"Antoine Griezmann",
434,"Serzh Sargsyan",
435,"Amedeo Avogadro",
436,"Paul Klee",
437,"Pius VII",
438,"Salvatore Quasimodo",
439,"Kaká",
440,"Louis de Funès",
441,"Abu Bakr al-Razi",
442,"Michelle Pfeiffer",
443,"W. H. Auden",
444,"Jack Kerouac",
445,"Andre Agassi",
446,"Yanka Kupala",
447,"François Villon",
448,"Linus",
449,"Diocletian",
450,"Martina Navratilova",
451,"Menachem Begin",
452,"Groucho Marx",
453,"John D. Rockefeller",
454,"Milla Jovovich",
455,"Jabir ibn Hayyan",
456,"Jason Statham",
457,"Giuseppe Mazzini",
458,"Carles Puigdemont",
459,"Józef Piłsudski",
460,"Klemens von Metternich",
461,"Julius II",
462,"Kristen Stewart",
463,"Marilyn Manson",
464,"Alexis Tsipras",
465,"Giotto",
466,"Daniel Ortega",
467,"Pier Paolo Pasolini",
468,"Jesse Owens",
469,"John Donne",
470,"Hal Holbrook",
471,"Max Verstappen",
472,"John Strutt, 3rd Baron Rayleigh",
473,"William IV",
474,"Kevin Spacey",
475,"Emmy Rossum",
476,"Chester Bennington",
477,"Tenzing Norgay",
478,"Alvar Aalto",
479,"Charles II of England",
480,"Philip K. Dick",
481,"Robin van Persie",
482,"Jürgen Habermas",
483,"Gustav Kirchhoff",
484,"Marina Tsvetaeva",
485,"Rudolf Diesel",
486,"Theodosius I",
487,"Yoko Ono",
488,"Alicia Keys",
489,"Derek Walcott",
490,"Prince Harry, Duke of Sussex",
491,"Stevie Wonder",
492,"Bedřich Smetana",
493,"Peter Handke",
494,"Lindsay Lohan",
495,"Pedro Almodóvar",
496,"Gabriel Lippmann",
497,"Joaquin Phoenix",
498,"Leo X",
499,"Nathalia Dill",
500,"Giorgos Seferis",
501,"Roger Moore",
502,"Paul Valéry",
503,"Dale Carnegie",
504,"Drew Barrymore",
505,"Gregory XVI",
506,"Husayn ibn Ali",
507,"George Boole",
508,"Boethius",
509,"Julie Andrews",
510,"Louis-Ferdinand Céline",
511,"Chris Evans",
512,"P. T. Barnum",
513,"Olga Tokarczuk",
514,"Friedrich Hölderlin",
515,"Jacques Derrida",
516,"Naomi Watts",
517,"Anthony Bourdain",
518,"Charles Manson",
519,"Abu Bakr al-Baghdadi",
520,"Emiliano Zapata",
521,"Uma Thurman",
522,"Shmuel Yosef Agnon",
523,"Anna Politkovskaya",
524,"John Dryden",
525,"Roger Ebert",
526,"Robert Browning",
527,"Max von Laue",
528,"Enrique Iglesias",
529,"Cary Grant",
530,"Pär Lagerkvist",
531,"Anne of Great Britain",
532,"Francis I of France",
533,"Atal Bihari Vajpayee",IN
534,"Suetonius",
535,"Horst Köhler",
536,"Leopold II of Belgium",
537,"Christian Wulff",
538,"Wilhelm von Humboldt",
539,"Winona Ryder",
540,"Miguel de Unamuno",
541,"Pedro Sánchez",
542,"Cecil Rhodes",
543,"Marcello Mastroianni",
544,"Tomáš Garrigue Masaryk",
545,"Ernest Lawrence",
546,"Aurobindo Ghosh",
547,"Judi Dench",
548,"Jigme Khesar Namgyel Wangchuck",
549,"Benedict XIV",
550,"Gareth Bale",
551,"Prosper Mérimée",
552,"Emperor Meiji",
553,"Sting",
554,"Amy Adams",
555,"Isabel Allende",
556,"Omar al-Bashir",
557,"Jaroslav Seifert",
558,"Allen Ginsberg",
559,"Ennio Morricone",
560,"Albertus Magnus",
561,"Otto Hahn",
562,"José Martí",
563,"Innocent III",
564,"Alan Rickman",
565,"Anthony Eden",
566,"Luis Buñuel",
567,"Mary Pickford",
568,"Fumio Kishida",
569,"Mario Draghi",
570,"Tiger Woods",
571,"Snoop Dogg",
572,"Basil of Caesarea",
573,"Benedict of Nursia",
574,"Gregory XIII",
575,"James Stewart",
576,"Paul Samuelson",
577,"Ādi Shankara",
578,"Fernando Torres",
579,"I. M. Pei",
580,"Pierre Beaumarchais",
581,"Rachel McAdams",
582,"Evangelista Torricelli",
583,"Shavkat Mirziyoyev",
584,"Hans Bethe",
585,"Henry Miller",
586,"Torquato Tasso",
587,"Eden Hazard",
588,"Philip Roth",
589,"Philip Seymour Hoffman",
590,"Gillian Anderson",
591,"Donald Knuth",
592,"Heike Kamerlingh Onnes",
593,"Karl Adolph Gjellerup",
594,"Charles Thomson Rees Wilson",
595,"Ibn Saud",
596,"Sepp Blatter",
597,"John de Lancie",
598,"David Lynch",
599,"Arsène Wenger",
600,"Dennis M. Ritchie",
601,"Paul III",
602,"Saint-John Perse",
603,"William Ewart Gladstone",
604,"George Weah",
605,"Carl Spitteler",
606,"Kevin Rudd",
607,"Tawakkol Karman",
608,"Ronald Ross",
609,"Eusébio",
610,"Murray Gell-Mann",
611,"Adam Sandler",
612,"Jaroslav Hašek",
613,"António de Oliveira Salazar",
614,"Emily Blunt",
615,"Camillo Benso di Cavour",
616,"Ghil'ad Zuckermann",
617,"Selim I",
618,"Emmy Noether",
619,"Gurbanguly Berdimuhamedow",
620,"Tarja Halonen",
621,"François Truffaut",
622,"Margaret Mead",
623,"Jacqueline Kennedy Onassis",
624,"Thomas Müller",
625,"Sharon Stone",
626,"Pratibha Patil",
627,"Juan Perón",
628,"Santiago Ramón y Cajal",
629,"Ryūnosuke Akutagawa",
630,"E. T. A. Hoffmann",
631,"Peter Dinklage",
632,"Ferenc Puskás",
633,"William Ramsay",
634,"Cyril Ramaphosa",
635,"Francisco Pizarro",
636,"Dan Quayle",
637,"Leni Riefenstahl",
638,"Xavi Hernández",
639,"Gottlob Frege",
640,"Hilary Swank",
641,"Eva Braun",
642,"Pyotr Kapitsa",
643,"T. E. Lawrence",
644,"Chris Hemsworth",
645,"Jacques-Louis David",
646,"Fritz Haber",
647,"Bernard of Clairvaux",
648,"Gal Gadot",
649,"Michael Clarke Duncan",
650,"Mohamed Salah",
651,"Gerard Piqué",
652,"José Echegaray",
653,"Patrick White",
654,"Elinor Ostrom",
655,"Jane Addams",
656,"Sergei Prokofiev",
657,"Paul Pogba",
658,"George IV of the United Kingdom",
659,"Joseph Priestley",
660,"Henrik Pontoppidan",
661,"Paul I of Russia",
662,"Anders Behring Breivik",
663,"Friedrich Wilhelm Joseph Schelling",
664,"Pius II",
665,"Konrad Lorenz",
666,"Hugo Grotius",
667,"James Gandolfini",
668,"Roger Bacon",
669,"Sebastián Piñera",
670,"David Guetta",
671,"Leo I",
672,"Kim Dae-jung",
673,"Robbie Williams",
674,"Hafez al-Assad",
675,"Susan Sontag",
676,"Louis XIII of France",
677,"Arjen Robben",
678,"John Cena",
679,"Renée Zellweger",
680,"Shirley MacLaine",
681,"Philippe of Belgium",
682,"Kim Basinger",
683,"Shota Rustaveli",
684,"Rajneesh",
685,"Harry Houdini",
686,"Qasem Soleimani",
687,"Antoninus Pius",
688,"Richard Strauss",
689,"Septimius Severus",
690,"Herman Van Rompuy",
691,"Abraham Maslow",
692,"Mark the Evangelist",
693,"Tim Burton",
694,"Alexander Suvorov",
695,"Ashraf Ghani",
696,"Arthur Holly Compton",
697,"Abiy Ahmed Ali",
698,"Vlad the Impaler",
699,"Nikolai Rimsky-Korsakov",
700,"Heydar Aliyev",
701,"Zulfiqar Ali Bhutto",
702,"Alberto Moravia",
703,"William Shockley",
704,"Shirley Temple",
705,"Kimi Räikkönen",
706,"Anselm of Canterbury",
707,"Robert Walpole",
708,"Maria Callas",
709,"Louis Braille",
710,"Tu Youyou",
711,"Albert II, Prince of Monaco",
712,"Asif Ali Zardari",
713,"Gary Cooper",
714,"Subrahmanyan Chandrasekhar",IN
715,"Hideki Yukawa",
716,"Avicii",
717,"Meghan, Duchess of Sussex",
718,"Kaja Kallas",
719,"Andy Murray",
720,"James Callaghan",
721,"René Magritte",
722,"Henry Cavendish",
723,"Joachim von Ribbentrop",
724,"John Updike",
725,"Mario Balotelli",
726,"Elizabeth Barrett Browning",
727,"Georges-Louis Leclerc, Comte de Buffon",
728,"Boutros Boutros-Ghali",
729,"Ferdinand II of Aragon",
730,"Adolf Eichmann",
731,"Gerd Müller",
732,"Oswald Spengler",
733,"Buster Keaton",
734,"Johann Strauss II",
735,"Ludwig Boltzmann",
736,"Théophile Gautier",
737,"Nezami Ganjavi",
738,"Pieter Brueghel the Elder",
739,"Leo XII",
740,"Hassanal Bolkiah I of Brunei",
741,"Victoria Beckham",
742,"Laurence Olivier",
743,"Thomas the Apostle",
744,"Qaboos bin Said Al Said",
745,"Łukasz Podolski",
746,"Jean-Claude Van Damme",
747,"Sergio Ramos",
748,"Louis IX of France",
749,"Naoto Kan",
750,"Ridley Scott",
751,"Edward VI of England",
752,"William III of England",
753,"Sergei Rachmaninoff",
754,"Sheikh Mujibur Rahman",
755,"Bryan Adams",
756,"Henri Barbusse",
757,"Ed Sheeran",
758,"Clovis I",
759,"Edward Norton",
760,"Jöns Jacob Berzelius",
761,"Marguerite Yourcenar",
762,"Fulgencio Batista",
763,"Ludwig Erhard",
764,"Philippe Pétain",
765,"Yoweri Museveni",
766,"Ludovico Ariosto",
767,"Charlton Heston",
768,"Gregory Peck",
769,"Erik Axel Karlfeldt",
770,"Alexander Borodin",
771,"Peter Sellers",
772,"Georges Danton",
773,"Miloš Zeman",
774,"Otto I the Great",
775,"Gina Lollobrigida",
776,"Anton Bruckner",
777,"Lillian Gish",
778,"Vitaly Ginzburg",
779,"André Breton",
780,"Karen Blixen",
781,"Paul Kagame",
782,"Pius VIII",
783,"Anatoly Karpov",
784,"Arundhati Roy",IN
785,"Wilhelm Ostwald",
786,"Wojciech Jaruzelski",
787,"Roberto Baggio",
788,"Olof Palme",
789,"Sergio Agüero",
790,"Primo Levi",
791,"Steffi Graf",
792,"Bronisław Komorowski",
793,"Michael Collins",
794,"Giorgio Vasari",
795,"William I, German Emperor",
796,"Radovan Karadžić",
797,"Ivan Krylov",
798,"Urban VIII",
799,"Gro Harlem Brundtland",
800,"Donald Rumsfeld",
801,"Hedy Lamarr",
802,"Otto Stern",
803,"Emil Fischer",
804,"Alfred Wegener",
805,"Nelly Furtado",
806,"Claude Simon",
807,"Josephine Baker",
808,"Pius V",
809,"John, King of England",
810,"Alfredo Di Stéfano",
811,"Sally Field",
812,"Scott Morrison",
813,"Liza Minnelli",
814,"Brian May",
815,"Rupert Murdoch",
816,"Wilhelm Wundt",
817,"Catherine Deneuve",
818,"Hieronymus Bosch",
819,"Gregory VII",
820,"Christina Ricci",
821,"Zendaya",
822,"Venus Williams",
823,"Arthur Balfour",
824,"Nicolas Poussin",
825,"Carl Reiner",
826,"Leonid Kuchma",
827,"Kareena Kapoor Khan",IN
828,"Otho",
829,"Bill Murray",
830,"Herbert Marcuse",
831,"Sylvester I",
832,"Klaus Ebner",
833,"Gloria Macapagal Arroyo",
834,"Walter Gropius",
835,"Ava Gardner",
836,"Samuel Eto'o",
837,"U Thant",
838,"Diane Keaton",
839,"Ricky Martin",
840,"Muhammadu Buhari",
841,"Ellen DeGeneres",
842,"Stéphane Mallarmé",
843,"Martial",
844,"Marcel Duchamp",
845,"Lise Meitner",
846,"Alexander Van der Bellen",
847,"Jean Perrin",
848,"Amedeo Modigliani",
849,"Mihai Eminescu",
850,"Jack Ma",
851,"Lev Yashin",
852,"Laura Bush",
853,"Odysseas Elytis",
854,"Sofia Kovalevskaya",
855,"Diego Forlán",
856,"Sebastian Kurz",
857,"Franck Ribéry",
858,"Robert Redford",
859,"Anders Fogh Rasmussen",
860,"Saparmyrat Nyýazow",
861,"Italo Calvino",
862,"Muhammad al Idrisi",
863,"Rigoberta Menchú",
864,"Roger Penrose",
865,"Johannes V. Jensen",
866,"Ian McKellen",
867,"Miyamoto Musashi",
868,"Annie Ernaux",
869,"Maryam Mirzakhani",
870,"Rajnath Singh",
871,"M. C. Escher",
872,"Nicolas Appert",
873,"William Harvey",
874,"James Fenimore Cooper",
875,"Jonas Salk",
876,"Robert Pattinson",
877,"Charles Lindbergh",
878,"Khadija bint Khuwaylid",
879,"Louis XVIII of France",
880,"Anacletus",
881,"Leymah Gbowee",
882,"Georges Simenon",
883,"Caspar David Friedrich",
884,"Aleksandar Vučić",
885,"Olivier Giroud",
886,"Dalia Grybauskaitė",
887,"Naftali Bennett",
888,"Modest Petrovich Mussorgsky",
889,"John Napier",
890,"George II of Great Britain",
891,"Paul V",
892,"Boniface VIII",
893,"Edgar Rice Burroughs",
894,"Jerry Lewis",
895,"Johannes Stark",
896,"Didier Drogba",
897,"Nadia Comăneci",
898,"Ernst Mach",
899,"Jan van Eyck",
900,"Bede",
901,"Frederick Sanger",
902,"Simone Weil",
903,"Syngman Rhee",
904,"José Raúl Capablanca",
905,"Anaïs Nin",
906,"R. Kelly",
907,"Andrés Manuel López Obrador",
908,"Bono",
909,"Pran",IN
910,"Joshua Bassett",
911,"Jolin Tsai",
912,"Ahmet Davutoğlu",
913,"Johann Heinrich Pestalozzi",
914,"William Wallace",
915,"Frederick II, Holy Roman Emperor",
916,"Francis II, Holy Roman Emperor",
917,"Julio Cortázar",
918,"Maggie Smith",
919,"Joe Cocker",
920,"Aldo Moro",
921,"Robert Duvall",
922,"Aurangzeb",
923,"Bryan Cranston",
924,"Norodom Sihamoni",
925,"Hans Zimmer",
926,"F. W. de Klerk",
927,"José de San Martín",
928,"Hilary Duff",
929,"Isidor Isaac Rabi",
930,"James Hetfield",
931,"Marion Cotillard",
932,"Caracalla",
933,"Gary Lineker",
934,"Louis the Pious",
935,"Max Stirner",
936,"Daniel Bernoulli",
937,"Germaine de Staël",
938,"George Best",
939,"James II of England",
940,"Julio Iglesias",
941,"Rachel Weisz",
942,"Phil Collins",
943,"Emmanuel Swedenborg",
944,"Anna Rita Del Piano",
945,"Heraclius",
946,"Paul Ehrlich",
947,"Jun'ichirō Koizumi",
948,"Henry V of England",
949,"Buckminster Fuller",
950,"Mobutu Sese Seko",
951,"Richard III of England",
952,"Thomas Sankara",
953,"Ada Yonath",
954,"Cesc Fàbregas",
955,"Alexander Alekhine",
956,"Pius VI",
957,"Pep Guardiola",
958,"Sergio Leone",
959,"Élie Metchnikoff",
960,"Miriam Makeba",
961,"Clement VII",
962,"William Lawrence Bragg",
963,"Shia LaBeouf",
964,"Sonia Gandhi",IN
965,"Dennis Gabor",
966,"Jeremy Irons",
967,"David Attenborough",
968,"Danny DeVito",
969,"Ludwig Mies van der Rohe",
970,"Hideki Tojo",
971,"Léopold Sédar Senghor",
972,"Alec Baldwin",
973,"Omar Sharif",
974,"Heinz Fischer",
975,"Gilbert Gottfried",
976,"Alice Walker",
977,"Yevgeny Prigozhin",
978,"Frank Herbert",
979,"Eyvind Johnson",
980,"Nasreddin",
981,"Carlo Collodi",
982,"Richard Gere",
983,"Masiela Lusha",
984,"Philipp Lahm",
985,"Francis Xavier",
986,"Ryan Reynolds",
987,"Boris Nemtsov",
988,"James Rodríguez",
989,"José Rizal",
990,"Evaristus",
991,"James Cagney",
992,"David Villa",
993,"Clement XII",
994,"Edward Victor Appleton",
995,"Tobey Maguire",
996,"Pete Seeger",
997,"Romelu Lukaku",
998,"Dr. Dre",
999,"Jean-François Champollion",
1000,"Emomali Rahmon",
1001,"Mario Monti",
1002,"James Franck",
1003,"Gregory of Nazianzus",
1004,"Karl Dönitz",
1005,"Jude Law",
1006,"Thor Heyerdahl",
1007,"Ryan Gosling",
1008,"Mike Myers",
1009,"Marshall McLuhan",
1010,"Nikos Kazantzakis",
1011,"Klaus Iohannis",
1012,"John Frederick William Herschel",
1013,"Megawati Soekarnoputri",
1014,"Paul Krugman",
1015,"Enid Blyton",
1016,"Tom Hardy",
1017,"Martin Landau",
1018,"Abdus Salam",
1019,"Tarō Asō",
1020,"Vicente Aleixandre",
1021,"Callixtus III",
1022,"Eva Green",
1023,"Wen Jiabao",
1024,"Ehud Olmert",
1025,"Thibaut Courtois",
1026,"Charles Édouard Guillaume",
1027,"John Michael Talbot",
1028,"Ilya Repin",
1029,"Frans Eemil Sillanpää",
1030,"Daniel Alves",
1031,"Paul Erdős",
1032,"Girolamo Savonarola",
1033,"Lucan",
1034,"Xabi Alonso",
1035,"Christine Lagarde",
1036,"Zaha Hadid",
1037,"Billie Holiday",
1038,"Gregory III",
1039,"Pius IV",
1040,"Bayezid I",
1041,"Kareem Abdul-Jabbar",
1042,"Benito Juárez",
