name,our_birth_date,wd_birth_date,stage,qid
Suleiman I of Persia,1648-01-01,1647-01-01,B2,Q210704
Catherine Coleman,1960-01-01,1960-12-14,A2,Q7468
Ayad Allawi,1945-05-31,1944-05-31,B2,Q313816
Ludovico Carracci,1555-01-01,1555-05-01,A2,Q380553
Sei Fuwa,1914-01-01,1915-07-02,B2,Q3138196
Shemar Moore,1970-01-01,1970-04-20,A2,Q320941
Saad Zaghloul,1858-07-01,1859-07-01,B2,Q328734
Eric II of Norway,1268-01-01,1268-10-11,A2,Q314450
Briana Banks,1978-05-21,1979-05-21,B2,Q77010
Vsevolod III the Big Nest,1154-01-01,1154-10-29,A2,Q348689
Giambattista della Porta,1535-01-01,1535-11-11,A2,Q334154
Mateo Alemán,1547-01-01,1547-09-28,A2,Q316616
Saskia van Uylenburgh,1612-01-01,1612-08-02,A2,Q109676
Emperor Go-Mizunoo,1596-01-01,1596-06-29,A2,Q320229
Sa'id of Egypt,1822-01-01,1822-03-17,A2,Q366744
Guru Ram Das,1534-01-01,1534-10-04,A2,Q335353
Thomas Kyd,1558-01-01,1558-11-06,A2,Q337082
Filippo Juvarra,1678-01-01,1678-03-27,A2,Q85000
"Henry Frederick, Prince of Wales",1593-02-19,1594-02-19,B2,Q82631
Charles Ponzi,1882-01-01,1882-03-03,A2,Q360145
Caroline Matilda of Great Britain,1751-01-01,1751-07-22,A2,Q57668
Mi Fu,1051-01-01,1051-12-10,A2,Q320129
Alfonso IV of Aragon,1299-01-01,1299-11-09,A2,Q380088
Muhammad bin Nayef,1958-08-30,1959-08-30,B2,Q455341
Bianca Maria Sforza,1472-01-01,1472-04-14,A2,Q161136
Utagawa Kuniyoshi,1797-01-01,1798-01-01,B2,Q317736
Evgeniy Vasilievich Khrunov,1933-01-01,1933-09-10,A2,Q455669
Sergej Ćetković,1975-03-08,1976-03-08,B2,Q1252204
Yesugei,1134-01-01,1134-12-28,B2,Q573157
Rose Christiane Raponda,1964-01-01,1963-06-30,B2,Q65556229
Go-Yōzei,1571-01-01,1571-12-31,B2,Q349440
Henry Suso,1295-01-01,1295-03-21,A2,Q303435
Ivan Gundulić,1588-01-01,1589-01-08,B2,Q317588
Angelica Balabanoff,1876-01-01,1877-08-04,B2,Q235537
Derartu Tulu,1972-01-01,1972-03-21,A2,Q466315
Jack Quaid,1992-01-01,1992-04-24,A2,Q1139078
J. Bruce Ismay,1862-01-01,1862-12-12,A2,Q347381
Josip Bozanić,1949-01-01,1949-03-20,A2,Q365529
Lizabeth Scott,1922-09-29,1921-09-29,B2,Q264011
Ladislaus of Naples,1376-01-01,1377-02-15,B2,Q317593
Gims,1986-01-01,1986-05-05,A2,Q3303251
Öljaitü,1280-01-01,1280-03-31,A2,Q297065
Jacques Callot,1592-01-01,1592-03-25,A2,Q460124
José María Velasco Ibarra,1893-01-01,1893-03-19,A2,Q707171
"Cecily Neville, Duchess of York",1415-01-01,1415-05-12,A2,Q238004
Victor D'Hondt,1841-01-01,1841-11-20,A2,Q313248
Abdoulkader Kamil Mohamed,1951-07-01,1952-07-01,B2,Q10522744
William Joyce,1906-01-01,1906-04-24,A2,Q76532
Gabriel Bethlen,1580-01-01,1580-11-15,A2,Q313494
Orazio Gentileschi,1563-01-01,1563-07-29,A2,Q367360
Alfonso II of Naples,1448-01-01,1448-11-13,A2,Q436753
Glen Powell,1988-01-01,1988-10-21,A2,Q5567967
Dara Shikoh,1615-01-01,1615-03-20,A2,Q604647
Hussein Onn,1922-01-01,1922-02-12,A2,Q529391
Francesco Geminiani,1687-01-01,1687-12-05,A2,Q311625
Michelle Williams,1980-07-23,1979-07-23,B2,Q229153
Hedwig of Silesia,1174-01-01,1174-10-23,A2,Q57520
Frank Knight,1886-11-07,1885-11-07,B2,Q355223
Philip III of Navarre,1305-01-01,1306-03-27,B2,Q505112
Ersin Tatar,1960-01-01,1960-09-07,A2,Q6057339
Robert de Sorbon,1201-01-01,1201-10-16,A2,Q508679
Vladimir Gelfand,1923-01-01,1923-03-01,A2,Q463412
Pérez Prado,1917-12-11,1916-12-11,B2,Q154809
Ted Chiang,1967-01-01,1967-10-20,A2,Q503095
Jacob Cats,1577-01-01,1577-11-20,A2,Q46151
Archduchess Anna of Austria,1528-01-01,1528-07-17,A2,Q163551
Đura Jakšić,1832-01-01,1832-07-27,A2,Q342124
József Eötvös,1813-01-01,1813-09-13,A2,Q469996
Stuart Binny,1983-06-03,1984-06-03,B2,Q3527608
Vishal Dadlani,1974-06-28,1973-06-28,B2,Q9369646
Mugdha Godse,1985-07-26,1986-07-26,B2,Q6932094
Fahadh Faasil,1983-08-08,1982-08-08,B2,Q5429508
Robin Uthappa,1985-11-11,1984-11-11,B2,Q2745297
Shatrughan Sinha,1946-12-09,1945-12-09,B2,Q3595242
Siddharth,1979-04-17,1980-04-17,B2,Q3124846
Shiva Rajkumar,1962-07-12,1961-07-12,B2,Q7499430
